timestamp,thumbnail,permalink,caption,type,engagement,followers,impressions,reach,likes,comments,saves,videoViews
2022-08-07T19:01:09+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/297809149_2051152478425445_7139190806284445810_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=c-v1VMV3FigAX_bTw53&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8qj54UaRJEoK_Oq6DxeeTImrR5Q6SKMBki5X7ib2RcZw&oe=62FB1800,https://www.instagram.com/p/Cg-CCNkvqsP/,"Best character development. Ever.⁠
-⁠
𝐇𝐲𝐩𝐞𝐫-𝐒𝐩𝐞𝐜𝐢𝐟𝐢𝐜 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐈𝐧 '𝐀𝐯𝐚𝐭𝐚𝐫: 𝐓𝐡𝐞 𝐋𝐚𝐬𝐭 𝐀𝐢𝐫𝐛𝐞𝐧𝐝𝐞𝐫' 𝐓𝐡𝐚𝐭'𝐥𝐥 𝐌𝐚𝐤𝐞 𝐘𝐨𝐮 𝐒𝐚𝐲, 𝐘𝐢𝐩 𝐘𝐢𝐩! - Link in bio!⁠
-⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1966,,42449,42002,1738,6,222,
2022-08-07T16:30:19+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297788659_1131948664398540_7926151754689340509_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6iQM2g2xgVoAX9btVc2&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9eGA1TYuX6iim_fVYX3xkbfLezIeYLfhlrG_IcQSaN5Q&oe=62FACB64,https://www.instagram.com/p/Cg9wzIjOayd/,"""Will you stop eating?!"" - a distressed Hermione⁠
- ⁠
𝟏𝟔 𝐅𝐚𝐧 𝐓𝐡𝐞𝐨𝐫𝐢𝐞𝐬 𝐀𝐛𝐨𝐮𝐭 𝐓𝐡𝐞 𝐖𝐞𝐚𝐬𝐥𝐞𝐲 𝐒𝐢𝐛𝐥𝐢𝐧𝐠𝐬 𝐓𝐡𝐚𝐭 𝐌𝐚𝐤𝐞 𝐔𝐬 𝐖𝐚𝐧𝐭 𝐓𝐨 𝐕𝐢𝐬𝐢𝐭 𝐓𝐡𝐞 𝐁𝐮𝐫𝐫𝐨𝐰 - Link in bio!⁠
- ⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3342,,94480,94262,2958,17,367,
2022-08-07T03:00:24+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297764879_343527591199129_3894748193438282995_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_Pk4aqpPC8YAX_jEIoS&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-1oIZjKDOC3NleLkAB45-YE1GTg_xYZbKY38HG95u8jA&oe=62F9D69E,https://www.instagram.com/p/Cg8UHOOOGsD/,"Barrymore would call, scream and hang up. In the middle of one take the police rang back in confusion to ask why they kept calling.⁠
⁠
𝟏𝟔 𝐒𝐦𝐚𝐥𝐥 𝐁𝐮𝐭 𝐅𝐚𝐬𝐜𝐢𝐧𝐚𝐭𝐢𝐧𝐠 𝐃𝐫𝐞𝐰 𝐁𝐚𝐫𝐫𝐲𝐦𝐨𝐫𝐞 𝐌𝐨𝐯𝐢𝐞 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐓𝐡𝐚𝐭 𝐅𝐚𝐧𝐬 𝐇𝐚𝐯𝐞 𝐏𝐨𝐢𝐧𝐭𝐞𝐝 𝐎𝐮𝐭 – Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠",IMAGE,1438,,40374,39870,1301,12,125,
2022-08-07T02:00:33+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297475714_150635284302071_7115705733345887750_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hiQkt7PFfmMAX-WGaBr&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8ZaismtwHVblQ8hdb2h3jx01oDiQnmjehOJQ3ww_YcQA&oe=62F98B87,https://www.instagram.com/p/Cg8NQk6O7ew/,"That Johnny Depp, he making me cry.⁠
⁠
𝟐𝟏 𝐅𝐚𝐧𝐬 𝐒𝐡𝐚𝐫𝐞 𝐇𝐢𝐥𝐚𝐫𝐢𝐨𝐮𝐬 𝐓𝐡𝐢𝐧𝐠𝐬 𝐀𝐛𝐨𝐮𝐭 𝐃𝐚𝐫𝐤 𝐅𝐚𝐧𝐭𝐚𝐬𝐲 𝐌𝐨𝐯𝐢𝐞𝐬 𝐖𝐞 𝐍𝐞𝐯𝐞𝐫 𝐍𝐨𝐭𝐢𝐜𝐞𝐝 𝐁𝐞𝐟𝐨𝐫𝐞 – Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠",IMAGE,1220,,32209,31240,1102,4,114,
2022-08-06T21:00:38+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298004052_1191514745027396_4040626579688480489_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=mllV6Zt1LusAX_smhq2&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9BlXLyi3I07KhtGWlqteFGGyP4H1tblBw3E5bYLGuy6w&oe=62FB13D7,https://www.instagram.com/p/Cg7q79Zun6v/,"Incidentally, the costume nearly ended the actor during the shoot. To get the glowing look for closeup shots, he had to have an elaborate LED display crammed inside his mouth with a dangerously placed battery pack. His saliva seeped into it, causing the batteries to leak acid into his mouth. When this happened, he understandably shouted, ""It tastes like s**t! What's in my mouth?""⁠
⁠ ⁠
𝐓𝐡𝐢𝐧𝐠𝐬 𝐘𝐨𝐮 𝐏𝐫𝐨𝐛𝐚𝐛𝐥𝐲 𝐃𝐢𝐝𝐧'𝐭 𝐊𝐧𝐨𝐰 𝐀𝐛𝐨𝐮𝐭 𝐀𝐫𝐧𝐨𝐥𝐝 𝐒𝐜𝐡𝐰𝐚𝐫𝐳𝐞𝐧𝐞𝐠𝐠𝐞𝐫 ⁠
⁠
– See more Arnold in bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠",IMAGE,20372,,393080,392587,17375,100,2897,
2022-08-06T00:30:16+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/297384471_589022645995537_7939337303178559418_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=tedgGGWomkAAX9iqn3c&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-XinweLU2qSDTPvPs5rijDdwatMuq22gwoDMZGuxZVLQ&oe=62F9FC99,https://www.instagram.com/p/Cg5eIoUOO6S/,Brush up on your Targaryen history before House of the Dragon drops later this month! Link in bio~🐉,IMAGE,949,,55866,54041,831,8,110,
2022-08-05T22:25:15+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297407656_1435322756949251_8136598694123456546_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=d__CIq8QoYkAX96KD3K&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9-XUGGuhuhKZjKKWjrp39_Wyskzw5Ru2GFy-ZVJn82wg&oe=62FA96F9,https://www.instagram.com/p/Cg5P0p0u0Ni/,Looking to dip your toes into the world of Star Trek? We've got you covered. Link in bio!,IMAGE,550,,25910,24558,450,6,94,
2022-08-05T20:30:15+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297466231_464846438479727_3242745612656571518_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=BkVqG4-L9jcAX-hd9OI&_nc_oc=AQnscxQUWTclFXGQObJTWKTAoacStYaxsHyDP1ndniCAgzb_xyQyQdy2Hu_ZSoTtaQACLBoGhsBZfu2M7OFiVbFa&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-5Y00pQCF0j6hlKn9AznsZ99tPTgm6LDep5wXOOZIdjQ&oe=62FAE151,https://www.instagram.com/p/Cg5CqinOAtb/,Is there anything that could top that experience?,IMAGE,110,,9275,9036,90,17,3,
2022-08-05T20:15:18+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/297801549_463504738974686_1272042432474995922_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=n1BFctGpEEQAX8c5VTO&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9NuFp6KAb0zG3bj0cJEs9cxxLaeat8maPIVKzjF__wXQ&oe=62FB3C98,https://www.instagram.com/p/Cg5A9DfOAok/,"Coruscant's Jedi Temple has a pretty wild history.⁠ Check the link in bio for more info!⁠
.⁠
.⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,2123,,52263,51692,1859,13,251,
2022-08-05T00:00:58+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/297064838_626922901969520_2757811634838752633_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=BysxQzJLWosAX-FvW7D&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_ahFFGYVXMGTKgEFcDbvDFekg_L9y_aG-RfW7swjYgMw&oe=62FB464A,https://www.instagram.com/p/Cg219x3u5NN/,"classic⁠
.⁠
𝟐𝟑 𝐇𝐢𝐥𝐚𝐫𝐢𝐨𝐮𝐬 𝐌𝐚𝐫𝐯𝐞𝐥 𝐌𝐞𝐦𝐞𝐬 𝐓𝐡𝐚𝐭 𝐀𝐜𝐭𝐮𝐚𝐥𝐥𝐲 𝐌𝐚𝐝𝐞 𝐔𝐬 𝐋𝐚𝐮𝐠𝐡⁠
 – Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3616,,60407,59582,3206,7,403,
