Time Posted,Image URL,Instagram Post ,Caption,Media Type,Engagement,Followers,Impressions,Reach,Likes,Comments,Saves,Video Views
08-13-2022 16:45:15,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298690252_1388175648342468_8981778932737035296_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EDdomXRrE18AX-3fZij&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9Y8SqpMwAMwk4YTkqGcMazLzmJ7AYFdUXD6fQrbbq-kQ&oe=63009FA2,https://www.instagram.com/p/ChNPRihsNVm/,"R. Lee Ermey Was Originally Just An Advisor On 'Full Metal Jacket'⁠
⁠
𝟏𝟓 𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐈𝐧 𝐖𝐚𝐫 𝐌𝐨𝐯𝐢𝐞𝐬 𝐓𝐡𝐚𝐭 𝐃𝐫𝐨𝐩 𝐔𝐬 𝐑𝐢𝐠𝐡𝐭 𝐈𝐧𝐭𝐨 𝐓𝐡𝐞 𝐀𝐜𝐭𝐢𝐨𝐧 - ⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,4498,,93689,93689,3866,24,608,
08-12-2022 23:45:14,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299026120_349235060615913_6586624876517885898_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=FlLGjd3T6CAAX_44OpS&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9P9kwaSufwg_3IUwhaDuCE3tAsFiesjTo8PT7irFYDBw&oe=630026BB,https://www.instagram.com/p/ChLai0PsXNV/,"During his early life, Groot felt like an outcast among his people. Although his species is plant-like, he was attracted to the smaller “Maintenance Mammals” and fungi that lived on his planet. The species, known as the Undergrowth, were considered inferior lifeforms by other Floral Colossi, but Groot considered them his friends⁠
.⁠
.⁠
𝐓𝐡𝐞 𝐂𝐨𝐦𝐢𝐜 𝐁𝐨𝐨𝐤 𝐁𝐚𝐜𝐤𝐬𝐭𝐨𝐫𝐲 𝐁𝐞𝐡𝐢𝐧𝐝 𝐇𝐨𝐰 𝐆𝐫𝐨𝐨𝐭 𝐖𝐞𝐧𝐭 𝐅𝐫𝐨𝐦 𝐓𝐫𝐞𝐞 𝐌𝐨𝐧𝐬𝐭𝐞𝐫 𝐓𝐨 𝐆𝐮𝐚𝐫𝐝𝐢𝐚𝐧 𝐎𝐟 𝐓𝐡𝐞 𝐆𝐚𝐥𝐚𝐱𝐲⁠
– Check out our link in our bio and make sure to follow @totalnerd_ for more posts about movies, comics, and all things nerdy!",IMAGE,845,,36847,35146,761,2,82,
08-12-2022 21:25:17,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/299196959_191286953263767_3714543650007634725_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=HGWwRw0NBAwAX-LQh8m&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT927mA0O67fuPb4TMbl1zzOUanBoNMeMH5Y3s0lhHCJgA&oe=630177C7,https://www.instagram.com/p/ChLKh3WuHwJ/,"When it comes to magical relics in the MCU, the Darkhold is just the tip of the iceberg.⁠
.⁠
.⁠
𝗧𝗵𝗶𝗻𝗴𝘀 𝗬𝗼𝘂 (𝗣𝗿𝗼𝗯𝗮𝗯𝗹𝘆) 𝗗𝗶𝗱𝗻'𝘁 𝗞𝗻𝗼𝘄 𝗔𝗯𝗼𝘂𝘁 𝗠𝗮𝗴𝗶𝗰𝗮𝗹 𝗥𝗲𝗹𝗶𝗰𝘀 𝗜𝗻 𝗧𝗵𝗲 𝗠𝗖𝗨⁠
�– Check out the link in bio for more and follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1082,,35423,35277,914,10,158,
08-12-2022 19:02:02,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298555413_694254968785896_7564598708293500955_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=t61F6x_qcGoAX9Jp0aU&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-j7LTD3Mh9FYeVDEhnhhGImzFL1F8IiL1ajsQbet2ngw&oe=63019C1D,https://www.instagram.com/p/ChK6EyBOgGv/,"Form III, also known as Soresu was developed around the time blaster technology became prominent throughout the galaxy. It was initially designed to counter the long-range threat, as Forms I and II were incapable of adapting to incoming blaster fire. Because of this, Soresu relies heavily on the lightsaber blade's ability to block blaster fire.⁠
⁠
Contrary to appearances in the films, it takes great skill to deflect those inbound bolts at an enemy. Such accuracy takes years to master, and Jedi Master Obi-Wan Kenobi was arguably the best during the latter years of the Republic. Form III is primarily defensive, as it aids in blocking attacks. That said, it incorporates powerful parry techniques capable of bringing the fight to the aggressor.⁠
.⁠
.⁠
𝗘𝘃𝗲𝗿𝘆𝘁𝗵𝗶𝗻𝗴 𝗬𝗼𝘂 𝗡𝗲𝗲𝗱 𝗧𝗼 𝗞𝗻𝗼𝘄 𝗔𝗯𝗼𝘂𝘁 𝗟𝗶𝗴𝗵𝘁𝘀𝗮𝗯𝗲𝗿 𝗖𝗼𝗺𝗯𝗮𝘁 𝗜𝗻 '𝗦𝘁𝗮𝗿 𝗪𝗮𝗿𝘀'⁠
.⁠
.⁠
Check out the link in our bio to learn more and be sure to follow @totalnerd_ for more posts about Star Wars, movies, TV, and all things nerdy!⁠
⁠",IMAGE,977,,22418,22418,834,10,133,
08-12-2022 16:14:15,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299184081_630319885094592_8880599293906571354_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=nb9Q10gHcG0AX_EWIFE&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_CWq6Ba5hREAu409ak-_8Xz0NJAre5xIB7MUP5M3bqsA&oe=6301E4B2,https://www.instagram.com/p/ChKm7m8rD2I/,"i think the explainer video left out some important information...⁠
⁠
𝟏𝟓 𝐏𝐥𝐨𝐭 𝐇𝐨𝐥𝐞𝐬 𝐈𝐧 𝐀𝐜𝐭𝐢𝐨𝐧-𝐀𝐝𝐯𝐞𝐧𝐭𝐮𝐫𝐞 𝐌𝐨𝐯𝐢𝐞𝐬 𝐓𝐡𝐚𝐭 𝐅𝐚𝐧𝐬 𝐂𝐨𝐮𝐥𝐝𝐧'𝐭 𝐇𝐞𝐥𝐩 𝐁𝐮𝐭 𝐍𝐨𝐭𝐢𝐜𝐞⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,4795,,167763,166864,3953,132,710,
08-11-2022 23:40:12,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298672633_390072899859141_826391016246050299_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=X4JjMyHVswQAX-FYn3B&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9NcbOPV98LhOfbqN8mfhqb7HhzqcA7TqaUCDsO1Wvilw&oe=630088FB,https://www.instagram.com/p/ChI1LKHu7Kd/,"at least we have Batgirl in the #harleyquinn series⁠
⁠
𝐃𝐂 𝐂𝐨𝐦𝐢𝐜𝐬 𝐂𝐡𝐚𝐫𝐚𝐜𝐭𝐞𝐫𝐬 𝐖𝐡𝐨 𝐖𝐞𝐫𝐞 𝐃𝐨𝐧𝐞 𝐃𝐢𝐫𝐭𝐲 𝐈𝐧 𝐓𝐡𝐞 𝐃𝐂𝐄𝐔⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,696,,28981,28890,590,32,74,
08-11-2022 19:45:13,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298436018_601405671335389_2800443288801543307_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6uGMZe1ovmMAX_OCwoT&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9VY6xMNU3-_v5u62xEu1zC4cSOtUfdwgPX1-X-dJpW8w&oe=63018ECD,https://www.instagram.com/p/ChIaSNfOttH/,"adopting this headcanon⁠
⁠
𝟏𝟓 𝐇𝐞𝐚𝐝𝐜𝐚𝐧𝐨𝐧𝐬 𝐀𝐛𝐨𝐮𝐭 𝐂𝐚𝐩𝐭𝐚𝐢𝐧 𝐀𝐦𝐞𝐫𝐢𝐜𝐚 𝐓𝐡𝐚𝐭 𝐀𝐜𝐭𝐮𝐚𝐥𝐥𝐲 𝐌𝐚𝐤𝐞 𝐒𝐞𝐧𝐬𝐞⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,10996,,221757,221757,9362,161,1473,
08-11-2022 01:00:40,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298217613_473085877581209_6486597841718905522_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=HXyKCALLQzwAX9JWTij&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8LfKi-xbKT0gFor7W6wuUBxscUduYPlwHLtXB2wlhcCw&oe=6301E91D,https://www.instagram.com/p/ChGZlTlucjy/,"Does anyone else think this show is super underrated?⁠
⁠
𝟏𝟓 𝐔𝐧𝐝𝐞𝐫𝐫𝐚𝐭𝐞𝐝 𝐋𝐚𝐭𝐞 '𝟗𝟎𝐬 𝐂𝐚𝐫𝐭𝐨𝐨𝐧𝐬 𝐓𝐡𝐚𝐭 𝐑𝐞𝐚𝐥𝐥𝐲 𝐁𝐫𝐢𝐧𝐠 𝐔𝐬 𝐁𝐚𝐜𝐤⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,8717,,171658,170472,7021,177,1519,
08-10-2022 23:30:19,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298602136_5523605487701558_6449918870434795855_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=YSY3fnbKkccAX8IT6eg&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9uMuGUtoUKvmHG_wjcA08RYn3nX85LktxKgVX52QETCg&oe=6301EC3C,https://www.instagram.com/p/ChGPP2duIck/,"Who else remembers this show?⁠
⁠
𝟏𝟖 𝐑𝐚𝐧𝐝𝐨𝐦 𝐀𝐧𝐝 𝐖𝐞𝐢𝐫𝐝 '𝟗𝟎𝐬 𝐋𝐢𝐯𝐞-𝐀𝐜𝐭𝐢𝐨𝐧 𝐊𝐢𝐝𝐬' 𝐓𝐕 𝐒𝐡𝐨𝐰𝐬 𝐘𝐨𝐮 (𝐏𝐫𝐨𝐛𝐚𝐛𝐥𝐲) 𝐅𝐨𝐫𝐠𝐨𝐭 𝐄𝐱𝐢𝐬𝐭𝐞𝐝⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,2076,,73557,72827,1746,66,264,
08-10-2022 22:01:15,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298201117_377762577762782_5234024362386520112_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=RiMgyLYJfCUAX-hRKZ_&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8rOPaEHTUOVqrdeOQvC_2S-WqFebXm572H2Lyg3gdY9w&oe=63008B75,https://www.instagram.com/p/ChGFB1IuIrU/,"Who are you looking forward to potentially joining the MCU?⁠
⁠
𝟏𝟕 𝐒𝐭𝐫𝐨𝐧𝐠𝐞𝐬𝐭 𝐂𝐨𝐬𝐦𝐢𝐜-𝐋𝐞𝐯𝐞𝐥 𝐓𝐡𝐫𝐞𝐚𝐭𝐬 𝐀𝐜𝐜𝐨𝐫𝐝𝐢𝐧𝐠 𝐓𝐨 𝐌𝐚𝐫𝐯𝐞𝐥 𝐂𝐨𝐦𝐢𝐜𝐬⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,950,,37333,36435,820,18,112,
